chapter,sentence,is_task,agent,deadline,category
jeff101.pdf,But what should we put our faith in?,True,,,3
jeff101.pdf,"Think what your answers to these questions would be, and guess how the story continues, before you begin to read it.",True,,,3
jeff101.pdf,Have you ever sent or received money in this way?,True,,,0
jeff101.pdf,"Use a part of your pocket money, and submit the form at the nearest post office to see how it’s done.",True,,,3
jeff101.pdf,See how your partner enjoys getting money by post!,True,,,1
jeff101.pdf,"(i)In addition to the sender , the for m has to be signed by the (ii)The ‘Acknowledgement’ section of the form is sent back by the post office to the after the signs it.",True,Acknowledgement,,1
jeff101.pdf,"Starting up a correspondence with God!” So, in order not to shake the writer’s faith in God, the postmaster came up with an idea: answer the letter.",True,God,,2
jeff101.pdf,"When he finished, he went to the window to buy a stamp which he licked and then affixed tocontentment satisfaction Reprint 2024-25 A Letter to God 7 1.Who does Lencho have complete faith in?",True,Reprint,,0
jeff101.pdf,"Send me the rest, since I need it very much.",True,,,3
jeff101.pdf,"Join the sentences given below using who, whom , whose , which , as suggested.",True,,,1
jeff101.pdf,"–stopped believing that this good thing would happen –wanting something to happen (and thinking it quite possible) –showing concern that what you say should not offend or disturb the other person: a way of being polite –wishing for something to happen, although this is very unlikelyA 1.Will you get the subjects you want to study in college?",True,,,1
jeff101.pdf,"IV.Using Negatives for Emphasis We know that sentences with wor ds such as no, not or nothing show the absence of something, or contradict something.",True,,,0
jeff101.pdf,Try to say what qualities are being compared.,True,,,0
jeff101.pdf,•Related a thought-provoking story about the nature of belief.,True,,,1
jeff101.pdf,"•Guided them through the reading activity by providing periodic comprehension checks as they read, and checked for holistic understanding at the end of the reading activity .",True,,,3
jeff101.pdf,"•Provided interesting exercises to strengthen students’ grasp of the specific vocabulary found in the story , and also introduced them to related vocabulary .",True,,,0
jeff101.pdf,There is a need to save water through water harvesting.,True,,,1
jeff101.pdf,"•Explained what metaphors are, and helped students identify metaphors in the text by providing clues.",True,,,0
jeff101.pdf,•Provided a context for authentic speaking.,True,,,1
jeff101.pdf,•Provided an interesting listening activity .,True,,,0
jeff101.pdf,"Given below is the passage for listening activity Bhatt House 256, Circuit Road Kanpur , Uttar P radesh, India 25 January 2006 Dear Arti, How are you?",True,Bhatt,,0
jeff101.pdf,"Activit y: Before filling out the form, get the students to read through the form and decide which parts they should fill out, and which parts will be filled in by the postal department.",True,Activit,,3
jeff101.pdf,Ask a few students to volunteer to actually send a money order (the amount need not be large) and share the experience with the rest of the class.,True,,,0
jeff101.pdf,"Give them enough time to read, and then discuss what they have read before going on to the next portion.",True,,,3
jeff101.pdf,"Use the ‘Oral Comprehension Checks’ in the appropriate places, and use the ‘Thinking about the T ext’ questions at the end of the passage to help them go beyond the text.",True,Oral,,0
jeff101.pdf,Do you think a crow is often mentioned in poems?,True,,,0
jeff101.pdf,Have you experienced a similar moment that changed your mood that day?,True,,,3
jeff101.pdf,Do you think the world will end some day?,True,,,3
jeff101.pdf,"Have you ever thought what would happen if the sun got so hot that it ‘burst’, or grew colder and colder?",True,’,,1
jeff102.pdf,Check your guess with this news item (from the BBC) of 10 May 1994.,True,BBC,,0
jeff102.pdf,Make a guess and match each expression with an appropriate meaning from Column B.,True,Column,,0
jeff102.pdf,"Out of the experience of an extraordinary human disaster that lasted too long, must be born a society of which all humanity will be proud.",True,,,2
jeff102.pdf,Let freedom reign.,True,,,1
jeff102.pdf,"People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite.",True,,,2
jeff102.pdf,"At first, as a student, I wanted freedom only for myself, the transitory freedoms of being able to stay out at night, read what I pleased and go where I chose.",True,,,0
jeff102.pdf,I knew that the oppressor must be liberated just as surely as the oppressed.,True,,,2
jeff102.pdf,II.Using the Definite Article with Names You know that the definite article ‘the’ is not nor mally used befor e proper nouns.,True,Definite,,2
jeff102.pdf,"Used in this way with the and/or in the plural, a proper noun carries a special meaning.",True,,,2
jeff102.pdf,Choose the right answer .,True,,,1
jeff102.pdf,Try to say what these sentences mean.,True,,,0
jeff102.pdf,Given below are sentences carrying one part of the contrast.,True,,,3
jeff102.pdf,Identify the words which signal the contrast.,True,,,1
jeff102.pdf,III.Expressing Y our Opinion Do you think there is colour prejudice in our own country?,True,Y,,3
jeff102.pdf,Choose a student from each group to present a short summary of each topic to the class.,True,,,1
jeff102.pdf,Check their pronunciation and meaning in a dictionary .,True,,,2
jeff102.pdf,"Read the poem silently once, and say which stanzas speak about the tiger in the zoo, and which ones speak about the tiger in the jungle.",True,,,0
jeff102.pdf,"He should be lurking in shadow, Sliding through long grass Near the water hole Where plump deer pass.",True,Where,,2
jeff102.pdf,"He should be snarling around houses At the jungle’s edge, Baring his white fangs, his claws, Terrorising the village!",True,’,,3
jeff102.pdf,"LESLIE NORRIS Reprint 2024-25 snarls: makes an angry, warning sound 1.Read the poem again, and work in pairs or groups to do the following tasks.",True,LESLIE,,3
jeff102.pdf,(i)Find the words that describe the movements and actions of the tiger in the cage and in the wild.,True,,,2
jeff102.pdf,Are there alternatives to zoos?,True,,,2
jeff103.pdf,Does he arrive safe?,True,,,3
jeff103.pdf,"Even when each of his brothers and his little sister , whose wings were far shorter than his own, ran to the brink, flapped their wings, and flew away, he failed to muster up courage to take that plunge which appeared to him so desperate.",True,,,1
jeff103.pdf,"Do you think all young birds are afraid to make their first flight, or are some birds more timid than others?",True,,,3
jeff103.pdf,Do you think a human baby also finds it a challenge to take its first steps?,True,,,0
jeff103.pdf,"5.In the case of a bird flying, it seems a natural act, and a foregone conclusion that it should succeed.",True,,,2
jeff103.pdf,Y our teacher will now divide the class into groups.,True,,,2
jeff103.pdf,Prepare a presentation with your group members and then present it to the entire class.,True,,,0
jeff103.pdf,Make it as humorous as possible.,True,,,1
jeff103.pdf,"‘I should call Paris Control soon,’ I thought.",True,Paris,,0
jeff103.pdf,Check the meanings in the dictionary and find out whether you have guessed right.,True,,,1
jeff103.pdf,Match the phrases given under Column A with their meanings given under Column B: III.We know that the wor d ‘fly’ (of bir ds/insects) means to move thr ough air using wings.,True,Column,,1
jeff103.pdf,Narrate your experience in a paragraph.,True,,,3
jeff103.pdf,Reprint 2024-25 •After they read the second story students should be asked for their ideas about the phantom plane: W as it really there or did the pilot imagine it?,True,Reprint,,3
jeff103.pdf,•Boxing rings are square Reprint 2024-25 Ho HoHoHoHow to Tw to Tw to Tw to Tw to T ell W ell W ell W ell Well Wild Animalsild Animalsild Animalsild Animalsild Animals This humorous poem suggests some dangerous ways to identify (or ‘tell’) wild animals!,True,Reprint,,1
jeff103.pdf,"Read it aloud, keeping to a strong and regular rhythm.",True,,,3
jeff103.pdf,"If ever you should go by chance To jungles in the east; And if there should to you advance A large and tawny beast, If he roars at you as you’re dyin’ You’ll know it is the Asian Lion... Or if some time when roaming round, A noble wild beast greets you, With black stripes on a yellow ground, Just notice if he eats you.",True,Lion,,3
jeff103.pdf,"Read the poem to see what the poet thinks has been lost, and what the boy has to learn from the experience of losing something.",True,,,3
jeff103.pdf,"He is learning, well behind his desperate eyes, The epistemology of loss, how to stand up Knowing what every man must one day know And most know many days, how to stand up.",True,,,2
jeff103.pdf,Is it linked to the memories of days when he played with it?,True,,,1
jeff103.pdf,Pick out the words that suggest the answer .,True,,,3
jeff103.pdf,Try to explain this in your own words.,True,,,0
jeff104.pdf,"Convinced that it was a unique record, he took action to have it published in English under the name The Diary of a Y oung Girl .",True,English,,0
jeff104.pdf,"Described as the work of a mature and insightful mind, the diary provides an intimate examination of daily life under Nazi occupation.",True,,,2
jeff104.pdf,"Use the definitions above to decide which of the entries might be from a diary, a journal, a log or a memoir .",True,,,0
jeff104.pdf,Received Rahul at the airport 09:30 p.m. Dinner at home Ans: (iii)The ride to Ooty was uneventful.,True,Rahul,,2
jeff104.pdf,Given below under ‘A’ are some terms we use to describe a written record of personal experience.,True,A,,3
jeff104.pdf,"I feel like writing, and I have an even greater need to get all kinds of things off my chest.",True,,,1
jeff104.pdf,"I finally stayed where I was, br ooding: Y es, paper does have more patience, and since I’m not planning to let anyone else read this stiff-backed notebook grandly referred to as a ‘diary’, unless I should ever find a real friend, it probably won’t make a bit of difference.",True,Y,,0
jeff104.pdf,"Let me put it more clearly, since no one will believe that a thirteen-year -old girl is completely alone in the world.",True,,,3
jeff104.pdf,"If you ask me, there are so many dummies that about a quarter of the class should be kept back, but teachers are the most unpredictable creatures on earth.",True,,,0
jeff104.pdf,3.Why does Anne need to give a brief sketch about her family?,True,Anne,,1
jeff104.pdf,Does she treat ‘Kitty’ as an insider or an outsider?,True,Kitty,,0
jeff104.pdf,Is Mr Keesing unpredictable?,True,Mr,,3
jeff104.pdf,"(iv)If you ask me, there are so many dummies that about a quarter of the class should be kept back, but teachers are the most unpredictable creatures on earth.",True,,,0
jeff104.pdf,"1.Heartbreaking –obeying and respecting the law 2.Homesick –think about pleasant things, forgetting about the present 3.Blockhead –something produced by a person, machine or organisation 4.Law-abiding –producing great sadness 5.Overdo –an occasion when vehicles/machines stop working 6.Daydream –an informal word which means a very stupid person 7.Breakdown –missing home and family very much 8.Output –do something to an excessive degreeA B II.Phrasal V erbs A phrasal verb is a verb followed by a preposition or an adverb.",True,B,,1
jeff104.pdf,Compare the meanings of the verbs get on and run away in (a) and (b) below.,True,,,2
jeff104.pdf,Look up the following in a dictionary for their meanings (under the entry for the italicised word).,True,,,1
jeff104.pdf,Match them with their meanings.,True,,,1
jeff104.pdf,Are their meanings the same as that of their parts?,True,,,1
jeff104.pdf,Do you know what it means to ‘let the cat out of the bag’?,True,,,1
jeff104.pdf,Be up to your eyes in sth to have a lot of sth to deal with: We’re up to our eyes in work.,True,,,3
jeff104.pdf,Try to use them in sentences of your own.,True,,,0
jeff104.pdf,"Take, for example, the expression caught my eye in the story .",True,,,3
jeff104.pdf,So you must look under catch for the expression caught my eye .,True,,,2
jeff104.pdf,Writing a diary is like speaking to oneself.,True,,,1
jeff104.pdf,Rewrite them as full forms of two words.,True,,,0
jeff104.pdf,Try to make this extract sound more like a real conversation by changing some of the verbs back into contracted forms.,True,,,3
jeff104.pdf,"[The door is flung open, and several men tramp in.",True,,,1
jeff104.pdf,Use the following hints to write your diary.,True,,,0
jeff104.pdf,•Present your thoughts in a convincing manner .,True,,,1
jeff104.pdf,"Don’t hunch your shoulders, Amanda!",True,Don,,0
jeff104.pdf,"Stop that slouching and sit up straight, Amanda!",True,Amanda,,0
jeff104.pdf,"Remember your acne, Amanda!",True,Amanda,,1
jeff104.pdf,"Will you please look at me when I’m speaking to you, Amanda!",True,Amanda,,1
jeff104.pdf,"Stop that sulking at once, Amanda!",True,Amanda,,0
jeff104.pdf,"Do you think this speaker is listening to the speaker in Stanzas 1, 3, 5, and 7?",True,Stanzas,,3
jeff104.pdf,Do you think Amanda is sulking and is moody?,True,Amanda,,0
jeff105.pdf,And why should we?,True,,,0
jeff105.pdf,The lady of the house must prepare sandwiches on the occasion of her daughter’s engagement.,True,,,0
jeff105.pdf,Cakes and bolinhas are a must for Christmas as well as other festivals.,True,Christmas,,2
jeff105.pdf,What is a must (i)as marriage gifts?,True,,,0
jeff105.pdf,"(naughty, angry, funny) (v)Cakes and bolinhas are a must for Christmas as well as other festivals.",True,Cakes,,2
