chapter,sentence
jeff101.pdf,BEFORE YOU R EAD They say faith can move mountains.
jeff101.pdf,But what should we put our faith in?
jeff101.pdf,This is the question this story delicately poses.
jeff101.pdf,"Lencho is a farmer who writes a letter to God when his crops are ruined, asking for a hundred pesos."
jeff101.pdf,Does Lencho’s letter reach God?
jeff101.pdf,Does God send him the money?
jeff101.pdf,"Think what your answers to these questions would be, and guess how the story continues, before you begin to read it."
jeff101.pdf,Activity 1.One of the cheapest ways to send money to someone is through the post office.
jeff101.pdf,Have you ever sent or received money in this way?
jeff101.pdf,Here’s what you have to do.
jeff101.pdf,"(As you read the instructions, discuss with your teacher in class the meanings of these words: counter , counter clerk, appr opriate, acknowledgement, counter foil, record."
jeff101.pdf,Consult a dictionary if necessary.
jeff101.pdf,Are there words corresponding to these English words in your languages?)
jeff101.pdf,Reprint 2024-25 2First Flight2.Fill out the Money Order form given below using the clues that follow the form.
jeff101.pdf,Reprint 2024-25 A Letter to God 3 THE house — the only one in the entire valley — sat on the crest of a low hill.
jeff101.pdf,From this height one could see the river and the field of ripe corn dotted with the flowers that always promised a good harvest.
jeff101.pdf,The only thing the earth needed was a downpour or at least a shower .
jeff101.pdf,Thr oughout the morning Lencho — who knew his fields intimately — had done nothing else but see the sky towards the north-east.
jeff101.pdf,"“Now we’r e really going to get some water , woman.” The woman who was pr eparing supper , replied, “Yes, God willing”."
jeff101.pdf,"The older boys wer e working in the field, while the smaller ones were playing near the house until the woman called to them all, “Come for dinner”."
jeff101.pdf,"It was during the meal that, just ascrest top of a hill•Think about who you will send the money to, and how much."
jeff101.pdf,"You might want to send money for a magazine subscription, or to a relative or a friend."
jeff101.pdf,•Or you may fill out the form with yourself as sender and your partner as r eceiver .
jeff101.pdf,"Use a part of your pocket money, and submit the form at the nearest post office to see how it’s done."
jeff101.pdf,See how your partner enjoys getting money by post!
jeff101.pdf,"•Notice that the form has three parts — the Money Order form, the part for official use and the Acknowledgement."
jeff101.pdf,What would you write in the ‘Space for Communication’?
jeff101.pdf,Now complete the following statements.
jeff101.pdf,"(i)In addition to the sender , the for m has to be signed by the (ii)The ‘Acknowledgement’ section of the form is sent back by the post office to the after the signs it."
jeff101.pdf,(iii)The ‘Space for Communication’ section is used for (iv)The form has six sections.
jeff101.pdf,"The sender needs to fill out sections and the receiver Reprint 2024-25 4First Flight Lencho had predicted, big drops of rain began to fall."
jeff101.pdf,In the north-east huge mountains of clouds could be seen approaching.
jeff101.pdf,The air was fresh and sweet.
jeff101.pdf,"The man went out for no other reason than to have the pleasure of feeling the rain on his body, and when he returned he exclaimed, ‘‘These aren’t raindrops falling from the sky, they are new coins."
jeff101.pdf,"The big drops are ten cent pieces and the little ones are fives.’’ With a satisfied expression he regarded the field of ripe corn with its flowers, draped in a curtain of rain."
jeff101.pdf,But suddenly a strong wind began to blow and along with the rain very large hailstones began to fall.
jeff101.pdf,These truly did resemble new silver coins.
jeff101.pdf,"The boys, exposing themselves to the rain, ran out to collect the frozen pearls."
jeff101.pdf,"‘‘It’s really getting bad now,’’ exclaimed the man."
jeff101.pdf,“I hope it passes quickly.” It did not pass quickly.
jeff101.pdf,"For an hour the hail rained on the house, the garden, the hillside, the cornfield, on the whole valley."
jeff101.pdf,"The field was white, as if covered with salt."
jeff101.pdf,Not a leaf remained on the trees.
jeff101.pdf,The corn was totally destroyed.
jeff101.pdf,The flowers were gone from the plants.
jeff101.pdf,Lencho’s soul was filled with sadness.
jeff101.pdf,"When the storm had passed, he stood in the middle of the field and said to his sons, “A plague of locusts woulddraped covered (with cloth) locusts insects which fly in big swarms (groups) and destroy crops Reprint 2024-25 A Letter to God 5have left more than this."
jeff101.pdf,The hail has left nothing.
jeff101.pdf,This year we will have no corn.’’ That night was a sorrowful one.
jeff101.pdf,"“All our work, for nothing.” ‘‘There’s no one who can help us.” “We’ll all go hungry this year .” Oral Comprehension Check 1.What did Lencho hope for?"
jeff101.pdf,2.Why did Lencho say the raindrops were like ‘new coins’?
jeff101.pdf,3.How did the rain change?
jeff101.pdf,What happened to Lencho’s fields?
jeff101.pdf,4.What were Lencho’s feelings when the hail stopped?
jeff101.pdf,"But in the hearts of all who lived in that solitary house in the middle of the valley, there was a single hope: help from God."
jeff101.pdf,"“Don’t be so upset, even though this seems like a total loss."
jeff101.pdf,"Remember , no one dies of hunger .” “That’s what they say: no one dies of hunger .” All through the night, Lencho thought only of his one hope: the help of God, whose eyes, as he had been instructed, see everything, even what is deep in one’s conscience."
jeff101.pdf,"Lencho was an ox of a man, working like an animal in the fields, but still he knew how to write."
jeff101.pdf,"The following Sunday, at daybreak, he began to write a letter which he himself would carry to town and place in the mail."
jeff101.pdf,It was nothing less than a letter to God.
jeff101.pdf,"“God,” he wrote, “if you don’t help me, my family and I will go hungry this year ."
jeff101.pdf,"I need a hundr ed pesos in order to sow my field again and to live until the crop comes, because the hailstorm.. ..” He wrote ‘To God’ on the envelope, put the letter inside and, still troubled, went to town."
jeff101.pdf,"At the post office, he placed a stamp on the letter and dropped it into the mailbox."
jeff101.pdf,"One of the employees, who was a postman and also helped at the post office, went to his boss laughing heartily and showed him the letter to God."
jeff101.pdf,Never in his career as a postman had he known that address.
