rid,origin,application,name,rating,date,review,sentiment-score,sentiment,key phrases,entities
1,Google Play Store,African Bank,Anele Dlamini,1,30/04/2020 00:00:00,"Worse banking app I have ever used! Refuses to log into my account. Keeps saying my ""session has ended"". It doesn't even deserve one star!",0.0014207661151886,Negative,"star,session,account,Worse banking app,",NULL
2,Google Play Store,African Bank,Portia Mpako Aphane,5,30/04/2020 00:00:00,"This app really works for me, I can transact anytime I want, view balances, open accounts and get statement ... I love it??????????",1,Postive,"app,view balances,statement,open accounts,",NULL
3,Google Play Store,African Bank,Portia Mpako Aphane,5,30/04/2020 00:00:00,"This app really works for me, I can transact anytime I want, view balances, open accounts and get statement ... I love it??????????",1,Postive,"app,view balances,statement,open accounts,",NULL
4,Google Play Store,African Bank,Sir_Stapleton,1,30/04/2019 00:00:00,"Just downloaded the app,its not allowing me to login. Giving me a error saying they cant process my request at this moment ,please try again later.",0.24347972869873,Negative,"login,app,moment,error,request,",NULL
5,Google Play Store,African Bank,Lungile Blom,5,29/12/2018 00:00:00,it's warking faster and good to heaving 2 making things eat time nometer is reigning,0.895581126213074,Postive,"warking,time nometer,things,",NULL
6,Google Play Store,African Bank,Maru madavha,1,29/11/2018 00:00:00,most of the the time the app is not working and its very slow.,0.00861221551895142,Negative,"app,time,",NULL
7,Google Play Store,African Bank,Derick Williams,5,29/10/2021 00:00:00,THANK YOU. Problem resolved. My mistake. Typed in wrong info. App running smoothly now.,0.247346639633179,Negative,"App,mistake,Problem,wrong info,",NULL
8,Google Play Store,African Bank,Frikkie Mostert,1,29/10/2021 00:00:00,"the app is useless can not login,even the e mail addres dont work.",0.000452160835266113,Negative,"app,e mail addres dont work,login,",NULL
9,Google Play Store,African Bank,Kolomane Maduna,1,29/10/2021 00:00:00,The app does not work...it keeps crashing.,0.176030308008194,Negative,"crashing,app,",NULL
10,Google Play Store,African Bank,Pelisa Xamntwana,1,29/10/2020 00:00:00,"Two weeks back,I opened My World account they told me to download the app bt it's been a week now trying and it's still not downloaded",0.112685978412628,Negative,"weeks,World account,app bt,",NULL
11,Google Play Store,African Bank,Sivenathi Mpetsheni,1,29/10/2019 00:00:00,"I just downloaded the app for the first time and it doesn't work, when I click any of the icons nothing happens. The app is practically useless at the moment",0.00192946195602417,Negative,"icons,time,moment,app,",NULL
12,Google Play Store,African Bank,Siboniso Michael Shongwe,5,29/09/2021 00:00:00,"The app makes life easy, mine is working perfectly however the biometric login is not working, hope u will fix it soon.",0.0266499221324921,Negative,"biometric login,life easy,app,",NULL
13,Google Play Store,African Bank,Quintin Moodley,4,29/09/2021 00:00:00,"The app is really grate and the features are awesome, it is now in the competitive market for leading banks",0.153179347515106,Negative,"app,features,leading banks,competitive market,",NULL
14,Google Play Store,African Bank,Chuma Tumshe,1,29/09/2021 00:00:00,I've downloaded this app twice already and it does not work on my phone. It says something about not being able to process my request and then it goes out.,0.00263294577598572,Negative,"phone,app,request,",NULL
15,Google Play Store,African Bank,mpumi sangweni,5,29/08/2021 00:00:00,User friendly and convenient ??,0.999999642372131,Postive,"User friendly,",NULL
16,Google Play Store,African Bank,mpumi sangweni,5,29/08/2021 00:00:00,User friendly and convenient ??,0.999999642372131,Postive,"User friendly,",NULL
31,Google Play Store,African Bank,BRAINLESS PRODUCTIONS,5,28/12/2021 00:00:00,A very Useful App makes everything convenient,0.934185743331909,Postive,"Useful App,",NULL
17,Google Play Store,African Bank,Adlaide Rusere,1,29/08/2020 00:00:00,This is ridiculous guys ever since i downloaded my app its always telling me that (error we can't process your request what what) so what am i supposed to do. This is really annoying guys,0.000376760959625244,Negative,"request,error,app,annoying guys,ridiculous guys,",NULL
18,Google Play Store,African Bank,Mduduzi Mthethwa,5,29/07/2021 00:00:00,"Ever since I opened African back Savings Account which is free, no monthly fees. I have total control of my credit score, App is tops & its the first banking app that is future fit.....Try African Bank I have managed my credit score closely & free........that how banking should be.",0.999569237232208,Postive,"monthly fees,total control,Savings Account,future fit,African Bank,banking app,credit score,",NULL
